Shade,Cool Gray,Warm Gray,Brown,Lemon,Yellow,Orange,Vermilion,Red,Pink,Purple,Indigo,Blue,Sky,Cyan,Teal,Green,Lime
900,#0f172a,#1c1917,#3b1f0a,#3d4500,#713f12,#7c2d12,#7f1d1d,#881337,#701a75,#581c87,#312e81,#1e3a8a,#0c4a6e,#164e63,#134e4a,#14532d,#365314
800,#1e293b,#292524,#5c3317,#5c6600,#854d0e,#9a3412,#991b1b,#9f1239,#86198f,#6b21a8,#3730a3,#1e40af,#075985,#155e75,#115e59,#166534,#3f6212
700,#334155,#44403c,#7c4a22,#7d8a00,#a16207,#c2410c,#b91c1c,#be123c,#a21caf,#7e22ce,#4338ca,#1d4ed8,#0369a1,#0e7490,#0f766e,#15803d,#4d7c0f
600,#475569,#57534e,#9c6535,#a0b000,#ca8a04,#ea580c,#dc2626,#e11d48,#c026d3,#9333ea,#4f46e5,#2563eb,#0284c7,#0891b2,#0d9488,#16a34a,#65a30d
500,#64748b,#78716c,#b07843,#c8d400,#eab308,#f97316,#ef4444,#f43f5e,#d946ef,#a855f7,#6366f1,#3b82f6,#0ea5e9,#06b6d4,#14b8a6,#22c55e,#84cc16
400,#94a3b8,#a8a29e,#c49a6c,#dce840,#facc15,#fb923c,#f87171,#fb7185,#e879f9,#c084fc,#818cf8,#60a5fa,#38bdf8,#22d3ee,#2dd4bf,#4ade80,#a3e635
300,#cbd5e1,#d6d3d1,#d4b896,#e8f270,#fde047,#fdba74,#fca5a5,#fda4af,#f0abfc,#d8b4fe,#a5b4fc,#93c5fd,#7dd3fc,#67e8f9,#5eead4,#86efac,#bef264
200,#e2e8f0,#e7e5e4,#e6d4bf,#f0f79a,#fef08a,#fed7aa,#fecaca,#fecdd3,#f5d0fe,#e9d5ff,#c7d2fe,#bfdbfe,#bae6fd,#a5f3fc,#99f6e4,#bbf7d0,#d9f99d
100,#f1f5f9,#f5f5f4,#f2e8dc,#f5facc,#fef9c3,#ffedd5,#fee2e2,#ffe4e6,#fae8ff,#f3e8ff,#e0e7ff,#dbeafe,#e0f2fe,#cffafe,#ccfbf1,#dcfce7,#ecfccb
75,#f5f7fb,#f7f7f6,#f5ede6,#f8fcd8,#fefbd6,#fff2e1,#feeaea,#ffebec,#fceeff,#f7efff,#e8edff,#e3eefd,#e9f7ff,#dafcff,#dcfdf6,#e5fded,#f2fddb
50,#f8fafc,#fafaf9,#f8f3ef,#fafde2,#fefce8,#fff7ed,#fef2f2,#fff1f2,#fdf4ff,#faf5ff,#eef2ff,#eff6ff,#f0f9ff,#ecfeff,#f0fdfa,#f0fdf4,#f7fee7
25,#fbfdfe,#fdfdfc,#fdfaf7,#fcfef0,#fffef5,#fffcf8,#fff8f8,#fff8f9,#fefaff,#fdfbff,#f5f6ff,#f6faff,#f7fcff,#f5ffff,#f7fefd,#f7fef9,#fbfff3
